name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl/kmpkg),engine(CC),max_power(bhp),seats
MarutiAlto800LXI,2014,180000,55000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
MarutiCelerioZDi,2015,400000,25000,Diesel,Individual,Manual,FirstOwner,27.62,793,47,5
MahindraXyloE4,2009,150000,300000,Diesel,Individual,Manual,FirstOwner,14,2498,112,7
FordFigo1.5DTitaniumMT,2016,500000,143200,Diesel,Individual,Manual,FirstOwner,25.83,1498,99,5
JeepCompass2.0LongitudeOptionBSIV,2017,1689999,60000,Diesel,Individual,Manual,FirstOwner,17.1,1956,170,5
NissanMicraDieselXVPremium,2012,204999,120000,Diesel,Individual,Manual,FirstOwner,23.08,1461,63.1,5
MarutiCiazVDiPlus,2014,459999,145000,Diesel,Individual,Manual,SecondOwner,26.21,1248,88.5,5
Hyundaii202015-2017Magna1.2,2017,600000,30000,Petrol,Individual,Manual,FirstOwner,18.6,1197,81.83,5
HyundaiGrandi101.2KappaSportzDualTone,2019,585000,8000,Petrol,Individual,Manual,FirstOwner,18.9,1197,81.86,5
FordEndeavour2.5L4X2MT,2012,551000,170000,Diesel,Individual,Manual,FirstOwner,13.1,2499,141,7
MarutiSwiftDzireLDI,2013,525000,100000,Diesel,Individual,Manual,FirstOwner,23.4,1248,74,5
MarutiOmni8SeaterBSIV,2012,160000,62000,Petrol,Individual,Manual,FirstOwner,14,796,35,5
MahindraXUV500W8AWD,2014,825000,110000,Diesel,Individual,Manual,FirstOwner,15.1,2179,140,7
HyundaiSantroXingGLCNG,2007,127000,137000,CNG,Individual,Manual,FirstOwner,,,,
ChevroletTaveraNeo3LS9StrBSIII,2015,600000,80000,Diesel,Individual,Manual,SecondOwner,13.58,2499,72.4,9
MarutiZenBase,2002,65000,80000,Petrol,Individual,Manual,SecondOwner,17.3,993,60,5
MarutiSwiftDzireVDI,2013,550000,100000,Diesel,Individual,Manual,FirstOwner,23.4,1248,74,5
MahindraBolero2011-2019Plus-ACBSIII,2015,650000,120000,Diesel,Individual,Manual,FirstOwner,15.96,2523,63,9
MarutiSwiftDzireVDI,2019,750000,24000,Diesel,Individual,Manual,FirstOwner,28.4,1248,74.02,5
MahindraKUV100mFALCOND75K8,2017,380000,80000,Diesel,Individual,Manual,FirstOwner,25.32,1198,77,6
HyundaiVerna1.6SXCRDi(O),2012,400000,138000,Diesel,Individual,Manual,FirstOwner,22.32,1582,126.32,5
MarutiWagonRLXI,2003,50000,147000,Petrol,Individual,Manual,Fourth&AboveOwner,18.9,998,67.1,5
MahindraTUV300mHAWK100T8DualTone,2017,750000,60000,Diesel,Individual,Manual,FirstOwner,18.49,1493,100,7
ChevroletSpark1.0LS,2011,150000,80000,Petrol,Individual,Manual,FirstOwner,18,995,62,5
MarutiAlto800LXI,2016,245000,50000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
TataManzaClubClassQuadrajet90VX,2013,260000,189000,Diesel,Individual,Manual,FirstOwner,21.02,1248,88.76,5
VolkswagenVento1.5TDIHighlineAT,2014,411000,90000,Diesel,Individual,Automatic,SecondOwner,21.21,1498,103.2,5
Hyundaii20Sportz1.4CRDi,2014,450000,56000,Diesel,Individual,Manual,FirstOwner,21.9,1396,88.76,5
BMW3Series320dLuxuryLine,2012,1300000,140000,Diesel,Individual,Automatic,SecondOwner,18.88,1995,184,5
MarutiCelerioVXI,2016,351000,60000,Petrol,Individual,Manual,FirstOwner,23.1,998,67.04,5
MahindraXUV500W84WD,2012,550000,130000,Diesel,Individual,Manual,FirstOwner,15.1,2179,140,7
BMW3Series320dLuxuryPlus,2013,1300000,140000,Diesel,Individual,Automatic,SecondOwner,18.88,1995,184,5
TataManzaClubClassQuadrajet90VX,2013,260000,189000,Diesel,Individual,Manual,FirstOwner,21.02,1248,88.76,5
VolkswagenVento1.5TDIHighlineAT,2014,411000,90000,Diesel,Individual,Automatic,SecondOwner,21.21,1498,103.2,5
Hyundaii20Sportz1.4CRDi,2014,450000,56000,Diesel,Individual,Manual,FirstOwner,21.9,1396,88.76,5
BMW3Series320dLuxuryLine,2012,1300000,140000,Diesel,Individual,Automatic,SecondOwner,18.88,1995,184,5
MarutiCelerioVXI,2016,351000,60000,Petrol,Individual,Manual,FirstOwner,23.1,998,67.04,5
MahindraXUV500W84WD,2012,550000,130000,Diesel,Individual,Manual,FirstOwner,15.1,2179,140,7
BMW3Series320dLuxuryPlus,2013,1300000,140000,Diesel,Individual,Automatic,SecondOwner,18.88,1995,184,5
NissanTerranoXE85PS,2016,750000,35000,Diesel,Individual,Manual,FirstOwner,20.45,1461,83.8,5
NissanTerranoXL85PS,2015,800000,35000,Diesel,Individual,Manual,FirstOwner,20.45,1461,83.8,5
TataNewSafariDICOR2.2EX4x2,2011,350000,156000,Diesel,Individual,Manual,FirstOwner,11.57,2179,138.1,7
MarutiAlto800LX,2013,200000,90000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
TataIndigoLS,2008,150000,60000,Diesel,Individual,Manual,ThirdOwner,17,1405,70,5
NissanTerranoXL110PS,2016,800000,36000,Diesel,Individual,Manual,FirstOwner,19.01,1461,108.5,5
HyundaiEONEraPlusSportsEdition,2017,350000,20000,Petrol,Individual,Manual,SecondOwner,21.1,814,55.2,5
TataNewSafariDICOR2.2VX4x2,2011,350000,160000,Diesel,Individual,Manual,FirstOwner,13.93,2179,138,7
MahindraScorpio2.6Turbo9Str,2006,250000,185000,Diesel,Individual,Manual,FirstOwner,12.7,2609,116.6,9
TataIndicaVistaTerra1.4TDI,2010,170000,110000,Diesel,Individual,Manual,SecondOwner,17,1405,71,5
RenaultKWIDRXTOptional,2018,395000,10800,Petrol,Individual,Manual,FirstOwner,25.17,799,53.3,5
MahindraBolero2011-2019SLE,2012,450000,120000,Diesel,Individual,Manual,FirstOwner,15.96,2523,62.1,7
MarutiIgnis1.2DeltaBSIV,2019,500000,15000,Petrol,Individual,Manual,FirstOwner,20.89,1197,81.8,5
TataSumoEX10/7StrBSIII,2012,200000,67500,Diesel,Individual,Manual,FirstOwner,12.2,1948,68,10
TataHexaXM,2017,1200000,30000,Diesel,Individual,Manual,FirstOwner,17.6,2179,153.86,7
MahindraKUV100mFALCOND75K8,2016,400000,50000,Diesel,Individual,Manual,FirstOwner,25.32,1198,77,6
MahindraTUV300T8,2016,650000,100000,Diesel,Individual,Manual,FirstOwner,18.49,1493,100,7
MahindraBolero2011-2019DI-ACBSIII,2016,550000,150000,Diesel,Individual,Manual,FirstOwner,15.96,2523,63,9
MahindraXUV500W102WD,2015,1100000,110000,Diesel,Individual,Manual,FirstOwner,16,2179,140,7
MarutiAlto800LXI,2012,254999,30000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
MarutiAltoLXi,2011,180000,60000,Petrol,Individual,Manual,FirstOwner,19.7,796,46.3,5
MahindraXyloD2,2010,160000,255000,Diesel,Individual,Manual,SecondOwner,13,2489,95,8
ChevroletOptraMagnum2.0LTBS3,2008,225000,120000,Diesel,Individual,Manual,SecondOwner,16.52,1991,123.7,5
MarutiAlto800LXI,2015,270000,49900,Petrol,Individual,Manual,SecondOwner,22.74,796,47.3,5
TataManzaAuraQuadrajetBSIV,2012,310000,86000,Diesel,Individual,Manual,FirstOwner,21.12,1248,88.8,5
DatsunGOTBSIV,2015,225000,71850,Petrol,Individual,Manual,FirstOwner,20.63,1198,67,5
FiatGrandePuntoEVO1.3Dynamic,2015,300000,95000,Diesel,Individual,Manual,ThirdOwner,21.2,1248,75,5
MarutiSwiftDzireVXi,2008,250000,70000,Petrol,Individual,Manual,Fourth&AboveOwner,17.5,1298,85.8,5
HyundaiEONSportz,2011,180000,35000,Petrol,Individual,Manual,FirstOwner,21.1,814,55.2,5
MarutiSwiftDzireVXI,2015,550000,50000,Petrol,Individual,Manual,FirstOwner,20.85,1197,83.14,5
MahindraBoleroXL10SeaterNonAC,2007,300000,120000,Diesel,Individual,Manual,ThirdOwner,13.6,2523,63,7
HyundaiElantraCRDiSX,2015,900000,145000,Diesel,Individual,Manual,FirstOwner,22.7,1582,126.2,5
TataSumoEXBSIV,2012,254999,190000,Diesel,Individual,Manual,ThirdOwner,,,,
MahindraXUV500W92WD,2018,1530000,40000,Diesel,Individual,Manual,FirstOwner,16,2179,138,7
MarutiBalenoDelta1.3,2015,590000,110000,Diesel,Individual,Manual,FirstOwner,27.39,1248,74,5
MarutiWagonRLXIDUOBSIII,2008,170000,112000,LPG,Individual,Manual,SecondOwner,17.3,1061,57.5,5
AudiA335TDIPremiumPlus,2017,2600000,70000,Diesel,Individual,Automatic,FirstOwner,20.38,1968,143,5
MarutiRitzVDi,2016,475000,110000,Diesel,Individual,Manual,FirstOwner,23.2,1248,73.94,5
HyundaiGrandi101.2CRDiAsta,2018,700000,29000,Diesel,Individual,Manual,FirstOwner,24,1186,73.97,5
MarutiWagonRVXIBSIV,2011,376000,60000,Petrol,Individual,Manual,FirstOwner,18.9,998,67.1,5
HyundaiSantroGSzipDrive-EuroI,2002,100000,120000,Petrol,Individual,Manual,Fourth&AboveOwner,,,,
Maruti800StdBSII,2004,75000,46000,Petrol,Individual,Manual,Fourth&AboveOwner,16.1,796,37,4
MahindraScorpioVLSAT2.2mHAWK,2012,440000,120000,Diesel,Individual,Automatic,ThirdOwner,11.79,2179,120,8
MarutiWagonRVXIOptional,2016,390000,80000,Petrol,Individual,Manual,FirstOwner,20.51,998,67.04,5
ToyotaInnova2.5VX7STR,2012,725000,159000,Diesel,Individual,Manual,SecondOwner,12.8,2494,102,7
MahindraBolero2011-2019SLE,2012,325000,110000,Diesel,Individual,Manual,SecondOwner,15.96,2523,62.1,7
MarutiAltoLXi,2010,170000,75000,Petrol,Individual,Manual,SecondOwner,19.7,796,46.3,5
MarutiSwiftDzireLDi,2010,215000,120000,Diesel,Individual,Manual,ThirdOwner,19.3,1248,73.9,5
HondaCity1.5VInspire,2010,350000,110000,Petrol,Individual,Manual,ThirdOwner,17,1497,118,5
ChevroletSpark1.0LS,2009,80000,80000,Petrol,Individual,Manual,Fourth&AboveOwner,18,995,62,5
HyundaiEONMagnaPlus,2012,195000,80000,Petrol,Individual,Manual,SecondOwner,21.1,814,55.2,5
MarutiSwiftVDIBSIVWABS,2011,280000,85000,Diesel,Individual,Manual,FirstOwner,,,,
NissanSunnyDieselXL,2014,335000,71000,Diesel,Dealer,Manual,FirstOwner,21.64,1461,84.8,5
MahindraXUV500W62WD,2011,475000,108000,Diesel,Dealer,Manual,FirstOwner,16,2179,140,7
RenaultDuster85PSDieselRxL,2015,484999,75000,Diesel,Dealer,Manual,FirstOwner,19.87,1461,83.8,5
MarutiCiazDeltaBSIV,2018,650000,22000,Petrol,Individual,Manual,SecondOwner,21.56,1462,103.25,5
AudiQ53.0TDIQuattro,2014,1850000,76131,Diesel,Individual,Automatic,FirstOwner,13.22,2967,241.4,5
Hyundaii201.2Asta,2018,700000,30000,Petrol,Individual,Manual,SecondOwner,18.6,1197,81.83,5
AudiQ73.0TDIQuattro,2014,3000000,65000,Diesel,Individual,Automatic,FirstOwner,12.07,2967,241.4,7
MahindraScorpioS39SeaterBSIV,2018,900000,60000,Diesel,Individual,Manual,FirstOwner,15.4,2523,75,7
VolkswagenPoloDieselHighline1.2L,2013,350000,80000,Diesel,Individual,Manual,FirstOwner,22.07,1199,73.9,5
HondaAordV6AT,2005,285000,80000,Petrol,Individual,Automatic,SecondOwner,9,2997,218,5
AudiQ73.0TDIQuattroPremiumPlus,2012,1850000,70000,Diesel,Individual,Automatic,FirstOwner,12.07,2967,241.4,7
MarutiVitaraBrezzaVDi,2017,750000,51777,Diesel,Dealer,Manual,FirstOwner,24.3,1248,88.5,5
LandRoverFreelander2TD4HSE,2013,1650000,64788,Diesel,Dealer,Automatic,FirstOwner,0,2179,115,5
HondaAmazeVPetrolBSIV,2018,600000,20000,Petrol,Individual,Manual,FirstOwner,19.5,1199,88.76,5
VolkswagenPolo2015-20191.0MPIComfortline,2018,565000,19000,Petrol,Individual,Manual,FirstOwner,18.78,999,75,5
DaewooMatizSS,2000,86000,46951,Petrol,Individual,Manual,FirstOwner,18.5,796,53,5
DatsunGOTBSIV,2016,329000,19000,Petrol,Individual,Manual,FirstOwner,20.63,1198,67,5
FordEcoSport1.5TDCiTitaniumPlusBSIV,2016,650000,50000,Diesel,Individual,Manual,FirstOwner,22.77,1498,98.59,5
HyundaiCreta1.6CRDiSXOption,2015,822000,60000,Diesel,Individual,Manual,FirstOwner,19.67,1582,126.2,5
RenaultDuster110PSDieselRxL,2013,345000,100000,Diesel,Individual,Manual,SecondOwner,19.01,1461,108.45,5
MarutiZenLXI,2001,30000,10000,Petrol,Individual,Manual,FirstOwner,17.3,993,60,5
MarutiSwiftVDI,2012,330000,50000,Diesel,Individual,Manual,SecondOwner,22.9,1248,74,5
MarutiWagonRStingrayVXI,2014,300000,74537,Petrol,Individual,Manual,SecondOwner,20.51,998,67.04,5
MarutiSX4ZXIAT,2009,200000,90000,Petrol,Individual,Automatic,SecondOwner,12.6,1586,103.3,5
TataIndicaVistaAqua1.3Quadrajet(ABS),2012,200000,80000,Diesel,Individual,Manual,SecondOwner,,,,
ChevroletSpark1.0,2010,90000,70000,Petrol,Individual,Manual,SecondOwner,18,995,62,5
MarutiWagonRVXIMinor,2010,200000,80000,Petrol,Individual,Manual,SecondOwner,18.9,1061,67,5
HyundaiXcent1.1CRDiSX,2016,550000,35000,Diesel,Individual,Manual,FirstOwner,24.4,1120,71,5
ChevroletBeatLT,2015,250000,23500,Petrol,Individual,Manual,FirstOwner,18.6,1199,76.8,5
HondaCityi-DTECVX,2017,975000,82000,Diesel,Individual,Manual,FirstOwner,25.6,1498,97.9,5
ToyotaInnova2.5G(Diesel)8Seater,2014,900000,100000,Diesel,Individual,Manual,SecondOwner,12.99,2494,100.6,8
Hyundaii201.2Spotz,2018,610000,15000,Petrol,Individual,Manual,FirstOwner,18.6,1197,81.83,5
MarutiBalenoZeta1.3,2017,620000,30000,Diesel,Individual,Manual,FirstOwner,27.39,1248,74,5
HyundaiGrandi10Sportz,2016,400000,30000,Petrol,Individual,Manual,FirstOwner,18.9,1197,82,5
MarutiCelerioXZXIBSIV,2019,500000,11000,Petrol,Individual,Manual,FirstOwner,21.63,998,67,5
DatsunGOPlusT,2017,200000,140000,Petrol,Individual,Manual,FirstOwner,19.02,1198,67.05,7
TataZestQuadrajet1.3XM,2016,360000,110000,Diesel,Individual,Manual,FirstOwner,23,1248,88.7,5
MarutiAltoK102010-2014VXI,2012,252000,48000,Petrol,Individual,Manual,FirstOwner,20.92,998,67.1,5
MarutiSwiftVDI,2012,280000,70000,Diesel,Individual,Manual,SecondOwner,22.9,1248,74,5
MarutiSwiftVXI2018,2018,509999,70000,Petrol,Individual,Manual,SecondOwner,22,1197,81.8,5
MahindraScorpio1.99S6Plus,2016,1050000,58000,Diesel,Individual,Manual,FirstOwner,15.4,1997,120,7
MarutiWagonRLXIDUOBSIII,2010,200000,40000,LPG,Individual,Manual,Fourth&AboveOwner,17.3,1061,57.5,5
MarutiZenLXI,2005,60000,90000,Petrol,Individual,Manual,SecondOwner,17.3,993,60,5
MahindraXyloE8ABSAirbag,2010,320000,40000,Diesel,Individual,Manual,SecondOwner,14,2498,112,7
MahindraScorpioLX,2013,520000,110000,Diesel,Individual,Manual,FirstOwner,12.05,2179,120,9
TataNewSafariDICOR2.2LX4x2,2007,250000,80000,Diesel,Individual,Manual,SecondOwner,11.57,2179,138.1,7
MarutiVitaraBrezzaZDi,2017,725000,60000,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
MahindraBolero2011-2019SLX,2015,585000,50000,Diesel,Individual,Manual,FirstOwner,15.96,2523,62.1,7
TataTiago1.2RevotronXZ,2017,430000,25000,Petrol,Individual,Manual,FirstOwner,23.84,1199,84,5
MarutiSwiftVDI,2011,235000,100000,Diesel,Individual,Manual,SecondOwner,22.9,1248,74,5
MarutiSwiftDzireVDi,2012,350000,52000,Diesel,Individual,Manual,ThirdOwner,19.3,1248,73.9,5
Hyundaii10Era1.1,2010,131000,80000,Petrol,Individual,Manual,ThirdOwner,19.81,1086,68.05,5
HondaAmazeVXi-DTEC,2016,450000,85000,Diesel,Individual,Manual,FirstOwner,25.8,1498,98.6,5
MarutiVitaraBrezzaZDiPlus,2016,750000,83000,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
MarutiAlto800LXI,2013,200000,50000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
MarutiWagonRLXIMinor,2009,125000,120000,Petrol,Individual,Manual,Fourth&AboveOwner,18.9,1061,67,5
MahindraBolero2011-2019SLE,2014,500000,100000,Diesel,Individual,Manual,FirstOwner,15.96,2523,62.1,7
MarutiSwiftVDI,2012,380000,70000,Diesel,Individual,Manual,ThirdOwner,22.9,1248,74,5
MarutiAltoLXi,2008,128000,19000,Petrol,Individual,Manual,FirstOwner,19.7,796,46.3,5
HondaCity1.5SMT,2009,250000,68600,Petrol,Individual,Manual,ThirdOwner,17,1497,118,5
MahindraBoleroPowerPlusSLX,2017,690000,60000,Diesel,Individual,Manual,FirstOwner,16.5,1493,70,7
MahindraBolero2011-2019SLX,2014,650000,65000,Diesel,Individual,Manual,SecondOwner,15.96,2523,62.1,7
HondaCityE,2012,560000,40000,Petrol,Individual,Manual,SecondOwner,16.8,1497,116.3,5
TataIndicaVistaAqua1.3Quadrajet(ABS),2012,120000,160000,Diesel,Individual,Manual,SecondOwner,,,,
MarutiCelerioVXI,2016,400000,25000,Petrol,Individual,Manual,FirstOwner,23.1,998,67.04,5
MarutiAltoK10LXI,2012,200000,29500,Petrol,Individual,Manual,FirstOwner,20.92,998,67.1,5
HyundaiVernaVTVT1.6SX,2018,950000,13887,Petrol,Individual,Manual,FirstOwner,17,1591,121.3,5
MarutiAlto800VXI,2016,300000,50000,Petrol,Individual,Manual,SecondOwner,22.74,796,47.3,5
RenaultKWIDRXL,2016,315000,30000,Petrol,Individual,Manual,SecondOwner,25.17,799,53.3,5
MarutiAlto800LXI,2012,220000,100000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
ChevroletAveo1.4LS,2011,130000,60000,Petrol,Individual,Manual,SecondOwner,14.49,1399,92.7,5
Hyundaii20SportzOption1.4CRDi,2016,595000,60000,Diesel,Individual,Manual,SecondOwner,22.54,1396,88.73,5
TataIndicaVistaTDILS,2011,110000,120000,Diesel,Individual,Manual,FirstOwner,19.4,1405,70,5
FordEcoSport1.5PetrolAmbienteBSIV,2017,680000,13500,Petrol,Individual,Manual,FirstOwner,17,1497,121.36,5
FiatGrandePuntoActive(Diesel),2013,280000,52000,Diesel,Individual,Manual,FirstOwner,20.3,1248,75,5
MarutiBalenoDelta1.2,2017,530000,30000,Petrol,Individual,Manual,SecondOwner,21.4,1197,83.1,5
HyundaiXcent1.2KappaSXOption,2017,610000,14000,Petrol,Individual,Manual,FirstOwner,19.1,1197,82,5
TataAriaPureLX4x2,2014,500000,90000,Diesel,Individual,Manual,SecondOwner,15.05,2179,147.9,7
TataTigor1.05RevotorqXM,2018,500000,50000,Diesel,Individual,Manual,FirstOwner,24.7,1047,69,5
MahindraXyloD2,2010,250000,120000,Diesel,Individual,Manual,SecondOwner,13,2489,95,8
HyundaiEONMagnaPlus,2018,325000,10000,Petrol,Individual,Manual,FirstOwner,21.1,814,55.2,5
MarutiBalenoDelta1.2,2018,550000,10000,Petrol,Individual,Manual,FirstOwner,21.4,1197,83.1,5
MarutiCiaz1.4Alpha,2018,720000,25000,Petrol,Individual,Manual,FirstOwner,20.73,1373,91.1,5
HyundaiVernaVTVT1.6SX,2017,950000,20000,Petrol,Individual,Manual,FirstOwner,17,1591,121.3,5
MarutiSwiftVDI,2013,350000,60000,Diesel,Individual,Manual,FirstOwner,22.9,1248,74,5
HyundaiGrandi101.2KappaSportzOption,2018,500000,40000,Petrol,Individual,Manual,FirstOwner,18.9,1197,81.86,5
MarutiSwiftDzireVDi,2012,380000,60000,Diesel,Individual,Manual,FirstOwner,19.3,1248,73.9,5
HyundaiXcent1.2KappaATSXOption,2015,380000,50000,Petrol,Individual,Automatic,FirstOwner,16.9,1197,82,5
HyundaiVernaVTVT1.6SX,2017,900000,20000,Petrol,Individual,Manual,FirstOwner,17,1591,121.3,5
MarutiAlto800VXI,2017,295000,35000,Petrol,Individual,Manual,FirstOwner,24.7,796,47.3,5
MarutiCiazVDiPlusSHVS,2016,640000,40000,Diesel,Individual,Manual,FirstOwner,28.09,1248,88.5,5
TataNexon1.5RevotorqXZPlus,2018,790000,60000,Diesel,Individual,Manual,FirstOwner,21.5,1497,108.5,5
HyundaiVerna1.6VTVTSOption,2015,625000,20000,Petrol,Individual,Manual,FirstOwner,17.01,1591,121.4,5
FordEcoSport1.5PetrolTrendBSIV,2017,604000,30000,Petrol,Individual,Manual,SecondOwner,17,1497,121.36,5
MarutiAltoK10VXI,2015,315000,29000,Petrol,Individual,Manual,FirstOwner,23.95,998,67.05,5
MahindraXUV300W6DieselBSIV,2019,950000,17000,Diesel,Individual,Manual,FirstOwner,20,1497,115,5
MarutiWagonRVXIPlusOptional,2017,400000,50000,Petrol,Individual,Manual,FirstOwner,20.51,998,67.04,5
Hyundaii201.4MagnaAT,2018,700000,42000,Petrol,Individual,Automatic,FirstOwner,18.6,1368,98.63,5
ToyotaInnova2.5G(Diesel)8SeaterBSIV,2011,700000,120000,Diesel,Individual,Manual,SecondOwner,12.8,2494,102,8
MahindraVerito1.5D4BSIV,2012,260000,110000,Diesel,Individual,Manual,FirstOwner,21.03,1461,65,5
TataIndigoCR4,2012,200000,90000,Diesel,Individual,Manual,FirstOwner,23.57,1396,70,5
MarutiDzireVXI,2020,580000,70000,Petrol,Individual,Manual,FirstOwner,23.26,1197,88.5,5
VolkswagenVentoIPLIIDieselTrendline,2011,330000,66000,Diesel,Individual,Manual,SecondOwner,20.5,1598,105,5
HyundaiVernaTransformCRDiVGTSXABS,2011,400000,70000,Diesel,Individual,Manual,ThirdOwner,16.2,1493,110,5
HyundaiCreta1.6SXAutomatic,2018,1350000,5000,Petrol,Individual,Automatic,FirstOwner,14.8,1591,121.3,5
MahindraVerito1.5D4BSIV,2014,250000,50000,Diesel,Individual,Manual,SecondOwner,21.03,1461,65,5
SkodaRapid1.6MPIAmbitionBSIV,2019,725000,25000,Petrol,Individual,Manual,FirstOwner,15.41,1598,103.2,5
MarutiSwiftDzireTourLDI,2013,300000,70000,Diesel,Individual,Manual,FirstOwner,23.4,1248,74,5
Maruti800AC,2006,120000,40000,Petrol,Individual,Manual,SecondOwner,16.1,796,37,4
MahindraXUV500W102WD,2016,1175000,110000,Diesel,Individual,Manual,FirstOwner,16,2179,140,7
TataNewSafariDICOR2.2VX4x4,2009,380000,150000,Diesel,Individual,Manual,FirstOwner,13.93,2179,138,7
TataIndicaVistaTDILX,2014,400000,45000,Diesel,Individual,Manual,FirstOwner,19.1,1405,70,5
TataIndigoLX,2005,140000,90000,Diesel,Individual,Manual,ThirdOwner,16.1,1405,70,5
TataNewSafariDICOR2.2EX4x2,2011,229999,140000,Diesel,Individual,Manual,SecondOwner,11.57,2179,138.1,7
FordIkon1.3CLXi,2003,110000,83000,Petrol,Individual,Manual,SecondOwner,13.8,1299,70,5
VolkswagenJetta2.0LTDIHighlineAT,2011,550000,106000,Diesel,Individual,Automatic,SecondOwner,16.96,1968,138.1,5
ChevroletAveoU-VA1.2LS,2008,150000,60000,Petrol,Individual,Manual,Fourth&AboveOwner,15.26,1150,74.9,5
MarutiOmniEMPISTDBSIV,2017,265000,40000,Petrol,Individual,Manual,SecondOwner,16.8,796,34.2,8
Hyundaii201.2Asta,2011,300000,138000,Petrol,Individual,Manual,ThirdOwner,17,1197,80,5
MarutiAlto800LXI,2015,280000,80000,Petrol,Individual,Manual,FirstOwner,22.74,796,47.3,5
HyundaiGetzGLS,2005,130000,50000,Petrol,Individual,Manual,SecondOwner,15.3,1341,83,5
ChevroletSail1.2LSABS,2015,350000,50000,Petrol,Individual,Manual,FirstOwner,18.2,1199,82.4,5
MarutiRitzVXi,2009,200000,120000,Petrol,Individual,Manual,FirstOwner,18.5,1197,85.8,5
MarutiSwiftVXI,2018,550000,24400,Petrol,Individual,Manual,FirstOwner,22,1197,81.8,5
MahindraBolero2011-2019SLX,2013,400000,60000,Diesel,Individual,Manual,SecondOwner,15.96,2523,62.1,7
MarutiRitzVXi(ABS)BSIV,2010,170000,120000,Petrol,Individual,Manual,SecondOwner,18.5,1197,85.8,5
HyundaiVerna1.4CRDi,2015,600000,60000,Diesel,Individual,Manual,SecondOwner,24.8,1396,88.7,5
MarutiAltoLXi,2011,130000,100000,Petrol,Individual,Manual,SecondOwner,19.7,796,46.3,5
HyundaiSantroXingGLPLUSCNG,2007,120000,60000,CNG,Individual,Manual,SecondOwner,,,,
Maruti800AC,2011,100000,120000,Petrol,Individual,Manual,SecondOwner,16.1,796,37,4
RenaultKWIDRXT,2016,310000,27500,Petrol,Individual,Manual,FirstOwner,25.17,799,53.3,5
Maruti800AC,2007,35000,10000,Petrol,Individual,Manual,FirstOwner,16.1,796,37,4
Hyundaii20Magna,2010,200000,120000,Petrol,Individual,Manual,ThirdOwner,18.5,1197,80,5
MarutiSwiftVDIBSIV,2009,270000,70000,Diesel,Individual,Manual,SecondOwner,,,,
Hyundaii20Sportz1.4CRDi,2015,650000,80000,Diesel,Individual,Manual,FirstOwner,22.54,1396,88.73,5
TataIndigoeCSGLS,2013,210000,120000,Petrol,Individual,Manual,FirstOwner,15.64,1193,64.1,5
HyundaiXcent1.1CRDiSOption,2015,509999,90000,Diesel,Individual,Manual,FirstOwner,24.4,1120,71.01,5
FordFigoDieselCelebrationEdition,2013,229999,70000,Diesel,Individual,Manual,FirstOwner,20,1399,68.1,5
RenaultDuster110PSDieselRxZ,2014,409999,188000,Diesel,Individual,Manual,SecondOwner,19.01,1461,108.45,5
ChevroletSpark1.0LT,2011,130000,67840,Petrol,Individual,Manual,FirstOwner,18,995,62,5
TataNanoCX,2013,95000,30000,Petrol,Individual,Manual,FirstOwner,25.4,624,37.48,4
MarutiAlto800LXI,2016,225000,35000,Petrol,Individual,Manual,SecondOwner,22.74,796,47.3,5
MarutiSwiftVDIBSIV,2010,256999,150000,Diesel,Individual,Manual,SecondOwner,,,,
MarutiVitaraBrezzaVDiOption,2017,775000,100000,Diesel,Individual,Manual,FirstOwner,24.3,1248,88.5,5
MarutiWagonRVXIBSIV,2017,420000,30000,Petrol,Individual,Manual,FirstOwner,20.51,998,67.04,5
HyundaiGrandi10SportzCelebrationEdition,2016,480000,70000,Petrol,Individual,Manual,FirstOwner,18.9,1197,82,5
ToyotaQualisGSG1,2003,200000,149032,Diesel,Individual,Manual,FirstOwner,,,,
MahindraBoleroSLE,2010,260000,380000,Diesel,Individual,Manual,SecondOwner,13.6,2523,63,7
ToyotaEtiosLivaG,2011,210000,84050,Petrol,Individual,Manual,FirstOwner,,,,
VolkswagenPolo2015-20191.2MPIHighlinePlus,2018,600000,15000,Petrol,Individual,Manual,FirstOwner,16.2,1199,74,5
FordIkon1.4TDCiDuraTorq,2009,140000,140000,Diesel,Individual,Manual,SecondOwner,13.8,1399,68,5
MarutiOmni8SeaterBSII,2010,130000,120000,Petrol,Individual,Manual,ThirdOwner,19.7,796,35,8
MarutiSwiftVDIBSIV,2007,195000,112880,Diesel,Dealer,Manual,FirstOwner,25.2,1248,74,5
TataIndicaVistaTDILS,2013,210000,135000,Diesel,Dealer,Manual,SecondOwner,19.4,1405,70,5
MarutiWagonRLX,2006,130000,80000,Petrol,Individual,Manual,ThirdOwner,18.9,998,67.1,5
